Epoch,Train Loss,Val Loss,Accuracy
0,3.506910056024522,2.987097556280983,42.30194319880419
1,2.743498380752018,2.3100330042019377,64.57399103139014
2,2.252832159164971,1.8885155764752262,73.69207772795217
3,1.8703820167555973,1.6896673054260345,78.1763826606876
4,1.5360569926787575,1.3067821109241435,83.70702541106128
5,1.2465080358140077,0.9703125030648726,89.68609865470853
6,0.998917359628942,0.935753864735944,87.29446935724962
7,0.7865332551620325,0.9113132907314329,86.39760837070254
8,0.6261441871943315,0.7705377033829511,88.63976083707026
9,0.48691465303578474,0.5659569958043918,90.88191330343797
10,0.40355265294037124,0.6991823077736414,87.14499252615845
11,0.32086078187476424,0.5777758996939267,88.78923766816143
12,0.2636112191227768,0.6169649778638363,89.68609865470853
13,0.2225816840330839,0.6008267043595535,87.89237668161435
14,0.20795087805763407,0.8761151323849489,82.95964125560538
15,0.16509868504312564,0.6813629850945665,86.39760837070254
16,0.36744240527263444,0.5884169284894684,89.53662182361734
17,0.29454008248733365,0.4598990853413695,92.67563527653215
18,0.24643829886750038,0.4985245778956221,91.18086696562034
19,0.2248684302415646,0.43038252526156395,92.82511210762333
20,0.20672334727947764,0.46919891946518905,91.92825112107623
21,0.17174073749731866,0.3970889698585944,92.52615844544096
22,0.151339018712574,0.7347050156828534,85.35127055306427
23,0.14006330836382092,0.3854941663809778,93.27354260089686
24,0.13036680227209885,0.5637328168558254,88.63976083707026
